Brewery ID,Brewery Name,City,Country,Distance from Chicago (km),Distance from Pottsville (km),Established Date,Is in business?,Latitude,Longitude,Primary Location,Website
BznahA,Anheuser-Busch InBev,Saint Louis,US,425.15282804972264,1223.6345575029704,1852,Y,38.5985037,-90.2093428,Y,http://www.anheuser-busch.com/
IImUD9,Breckenridge Brewery,Denver,US,1482.6270852937992,2443.7561619779967,1990,Y,39.7236683,-105.0006015,Y,http://www.breckbrew.com/
uM2jeT,Brouwerij De Leite,Ruddervoorde,BE,6596.855786788592,5965.003106988764,2008,Y,51.10493,3.2213,Y,http://www.deleite.be/
p3YrOa,Dock Street Brewery,West Philly,US,1065.9639621337867,116.38431525186911,1985,Y,39.9477956,-75.2229305,Y,http://www.dockstreetbeer.com
HaPdSL,Guinness,Dublin City,IE,5904.549428405526,5270.406453244511,1759,Y,53.34309,-6.290799,Y,http://www.guinness.com/
p1tFbP,Jackalope Brewing Company,Nashville,US,640.1087404561945,1051.4630198052191,2011,Y,36.1503749,-86.779494,Y,http://www.jackalopebrew.com/
nLsoQ9,Lagunitas Brewing Company,Petaluma,US,2993.927764083357,3960.213034733804,1993,Y,38.272435,-122.662346,N,http://www.lagunitas.com/
941OaA,Last Name Brewing,Upland,US,2761.2363196837214,3710.57618908761,2003,Y,34.1091852,-117.6909341,Y,http://www.lastnamebrewing.com/
yX6twV,Laughing Dog Brewing,Ponderay,US,2369.369180659333,3277.944589818912,2005,Y,48.2980485,-116.5461322,Y,http://www.laughingdogbrewing.com/
hGFVYy,Miller Brewing Company,Milwaukee,US,132.33933745511158,1010.4689200963568,1885,Y,43.0437831,-87.962092,Y,http://www.millercoors.com/
AqEUBQ,New Holland Brewing Company,Holland,US,161.45732666880298,856.2118048349628,1996,Y,42.7900238,-86.1041945,N,http://newhollandbrew.com/
q6vJUK,Oskar Blues Brewery,Longmont,US,1481.5659918894962,2444.903047232476,1997,Y,40.1389968,-105.1227417,Y,http://www.oskarblues.com/
4F7QA9,Portsmouth Brewery,Portsmouth,US,1391.3771222056057,523.6160742009017,1991,Y,43.0780069,-70.7575978,Y,http://www.portsmouthbrewery.com/
nHLlnK,Sierra Nevada Brewing Company,Chico,US,2875.6490058695576,3841.112240998486,1980,Y,39.7246028,-121.8157154,Y,http://www.sierranevada.com/
TMc6H2,SweetWater Brewing Company,Atlanta,US,940.0474664965753,1052.6109079589146,1997,Y,33.808102,-84.38119,Y,http://www.sweetwaterbrew.com/
DifSi4,Wachusett Brewing Company,Westminster,US,1301.4857712227997,416.05542900593827,1994,Y,42.5584168,-71.8707812,Y,http://www.wachusettbrew.com/
VEY3Xa,Zero Gravity Craft Brewery,Burlington,US,1205.0870360342878,485.3976429729558,2004,Y,44.4596386,-73.2137346,Y,http://www.zerogravitybeer.com/
